id,pais_id,año,INB_percapita,nivel_id
762,24.0,2002,1750.0,1.0
763,24.0,2001,1620.0,1.0
764,24.0,2000,1540.0,1.0
765,24.0,1999,1400.0,1.0
766,24.0,1998,1330.0,1.0
767,24.0,1997,1010.0,0.0
768,24.0,1996,760.0,0.0
769,24.0,1995,,
770,24.0,1994,,
771,24.0,1993,,
772,24.0,1992,,
773,24.0,1991,,
774,24.0,1990,,
775,33.0,2020,6500.0,2.0
776,33.0,2019,7170.0,2.0
777,33.0,2018,6780.0,2.0
778,33.0,2017,6380.0,2.0
779,33.0,2016,6280.0,2.0
780,33.0,2015,6430.0,2.0
781,33.0,2014,7420.0,2.0
782,33.0,2013,7570.0,2.0
783,33.0,2012,7250.0,2.0
784,33.0,2011,6610.0,2.0
785,33.0,2010,5610.0,2.0
786,33.0,2009,5330.0,2.0
787,33.0,2008,5740.0,2.0
788,33.0,2007,5730.0,2.0
789,33.0,2006,5440.0,2.0
790,33.0,2005,4930.0,2.0
791,33.0,2004,3920.0,1.0
792,33.0,2003,3370.0,1.0
793,33.0,2002,2930.0,1.0
794,33.0,2001,3260.0,1.0
795,33.0,2000,3170.0,1.0
796,33.0,1999,3150.0,1.0
797,33.0,1998,3210.0,1.0
798,33.0,1997,3330.0,1.0
799,33.0,1996,3180.0,1.0
800,33.0,1995,3260.0,1.0
801,33.0,1994,2960.0,1.0
802,33.0,1993,3330.0,1.0
803,33.0,1992,3270.0,1.0
804,33.0,1991,3070.0,1.0
805,33.0,1990,2720.0,1.0
806,29.0,2020,7800.0,2.0
807,29.0,2019,9220.0,2.0
808,29.0,2018,9140.0,2.0
809,29.0,2017,8680.0,2.0
810,29.0,2016,8910.0,2.0
811,29.0,2015,10170.0,2.0
812,29.0,2014,12100.0,2.0
813,29.0,2013,12770.0,3.0
814,29.0,2012,12300.0,2.0
815,29.0,2011,11070.0,2.0
816,29.0,2010,9640.0,2.0
817,29.0,2009,8330.0,2.0
818,29.0,2008,7620.0,2.0
819,29.0,2007,6200.0,2.0
820,29.0,2006,4850.0,2.0
821,29.0,2005,4000.0,2.0
