acceso_servicios_sanitarios(%),año,esperanza_vida_total,estado_civil_casado_porcentaje,pais_id,tasa_bruta_mortalidad_por_1000_habitantes,tasa_fertilidad,tasa_mortalidad_infantil_ambos,tasa_mortalidad_suicidio_c/100.000,tasa_poblacion_urbana,total_muertes_por_sexo_fem,nivel_id
45.78603939,2018.0,61.247,57.8083995656732,16.0,7.648,5.379986,41.33287,6.3,13.032,41439.0,0.0
45.82120595,2017.0,60.898,58.3814348527466,16.0,7.772,5.481355,42.77186,6.4,12.706,41296.0,0.0
45.85101814,2016.0,60.528,58.7373508881228,16.0,8.18,5.586523,44.43743,6.4,12.388,42751.0,0.0
45.87571182,2015.0,60.123,58.975545149239,16.0,8.553,5.695056,46.30051,6.4,12.078,43490.0,0.0
45.89550768,2014.0,59.665,59.3440463800407,16.0,8.798,5.794481,48.24118,6.7,11.776,44410.0,0.0
45.91061519,2013.0,59.148,59.2350828631462,16.0,9.178,5.888722,50.58914,7.0,11.482,44948.0,0.0
45.92132836,2012.0,58.568,59.1585978642954,16.0,9.625,5.990923,53.29976,7.1,11.194,45576.0,0.0
45.92771181,2011.0,57.925,59.1994142653503,16.0,10.094,6.108129,56.22582,7.4,10.915,46313.0,0.0
45.93007051,2010.0,57.228,59.2238856003781,16.0,10.538,6.25991,59.44766,7.6,10.642,46639.0,0.0
45.92854494,2009.0,56.488,58.2141276230216,16.0,10.92,6.409153,62.80024,7.7,10.376,45301.0,0.0
45.92326435,2008.0,55.721,57.8239810938838,16.0,11.316,6.514925,66.44447,7.9,10.118,44701.0,0.0
45.91453178,2007.0,54.944,57.4839253777064,16.0,11.871,6.58845,70.34404,8.4,9.864,45819.0,0.0
45.9023902,2006.0,54.163,57.1530893236081,16.0,12.366,6.658865,74.40784,8.9,9.617,45838.0,0.0
45.88705604,2005.0,53.369,56.8676171825132,16.0,12.841,6.707592,78.62962,8.9,9.375,45882.0,0.0
45.86863535,2004.0,52.547,56.5629580268019,16.0,13.369,6.746361,82.3523,9.2,9.139,46042.0,0.0
45.84729278,2003.0,51.69,56.3284186237015,16.0,13.984,6.785496,85.99854,9.7,8.908,46269.0,0.0
45.63436584,2002.0,50.81,56.2841400427675,16.0,14.501,6.818742,89.14409,10.2,8.682,46376.0,0.0
45.42356032,2001.0,49.93,56.2108887190684,16.0,15.316,6.849002,92.36587,10.8,8.461,47057.0,0.0
45.21474211,2000.0,49.091,56.5447000872972,16.0,15.907,6.871521,95.30244,11.7,8.246,48035.0,0.0
81.260165898,1999.0,48.339,56.9021050363806,16.0,15.965,6.897352,97.41375,2.54,8.036,47983.0,0.0
66.626910162,1998.0,47.708,57.3243009696956,16.0,16.646,6.957955,99.83704,5.14,7.83,48546.0,0.0
75.05449739400001,1997.0,47.226,58.0564859594946,16.0,17.626,7.040367,102.05111,2.8600000000000003,7.618,50965.0,0.0
75.054497394,1996.0,46.905,59.1342974800789,16.0,18.599,7.123405,104.15275,2.8600000000000003,7.412,54109.0,0.0
81.260165898,1995.0,46.758,59.6507183261725,16.0,18.823,7.183612,104.62287,2.54,7.211,54393.0,0.0
60.41563790400001,1994.0,46.786,58.9701578512195,16.0,18.937,7.230234,104.44576,5.36,7.014,49732.0,0.0
82.637660482,1993.0,46.953,61.0515396694956,16.0,24.9,7.272365,108.60799,2.5800000000000005,6.823,69642.0,0.0
81.181715892,1992.0,47.212,61.1620529835568,16.0,19.519,7.300541,104.24687,3.34,6.637,54892.0,0.0
75.75446313,1991.0,47.522,61.4089025340643,16.0,19.393,7.336361,103.72729,4.42,6.455,52933.0,0.0
81.055205758,1990.0,47.829,61.6502441400206,16.0,19.067,7.365062,103.04195,3.7399999999999998,6.271,50653.0,0.0
64.94956081400001,1991.0,64.992,42.7539435259289,47.0,8.137,5.259206,45.69569,1.58,45.044,1508.0,0.0
77.333104812,1990.0,64.676,42.7343149090723,47.0,8.315,5.392422,46.86992,1.6600000000000001,44.12,1510.0,0.0
50.02047495,2014.0,68.273,66.057620575361,121.0,5.756,2.589196,27.75068,5.1,21.799,42184.0,0.0
46.9506025,2013.0,67.888,65.6131712798568,121.0,5.817,2.619623,29.34622,5.2,21.415,41382.0,0.0
43.89771493,2012.0,67.48,65.0082929042448,121.0,5.863,2.66387,31.03919,5.2,21.037,41821.0,0.0
40.8613316,2011.0,67.043,64.5348424592577,121.0,5.947,2.701239,33.38857,5.3,20.663,41215.0,0.0
37.84219611,2010.0,66.56,64.1922083064005,121.0,6.121,2.773625,35.72761,5.4,20.294,42354.0,0.0
34.84063238,2009.0,66.014,63.9859566541023,121.0,6.127,2.871291,38.43467,5.4,19.93,41723.0,0.0
31.85696911,2008.0,65.394,63.8727620118529,121.0,6.418,2.969124,41.28387,5.6,19.571,43408.0,0.0
28.98279548,2007.0,64.697,63.8537528878587,121.0,6.63,3.08403,44.32424,5.7,19.413,44208.0,0.0
26.14679527,2006.0,63.927,63.8737276859134,121.0,6.809,3.144563,47.4279,5.7,19.293,44679.0,0.0
23.33220447,2005.0,63.088,63.8931830028325,121.0,7.042,3.243996,50.99499,5.5,19.174,45536.0,0.0
20.53861082,2004.0,62.186,64.0434920273462,121.0,7.273,3.345082,55.25906,5.3,19.055,46245.0,0.0
17.76657571,2003.0,61.241,64.4023611103142,121.0,7.641,3.44185,60.36356,5.1,18.937,47170.0,0.0
15.01618014,2002.0,60.283,64.8967288903062,121.0,8.149,3.55498,66.41701,5.1,18.82,49538.0,0.0
12.28698503,2001.0,59.335,65.413289349124,121.0,8.667,3.651886,73.20922,5.1,18.703,52177.0,0.0
9.841519046,2000.0,58.432,65.9386930058891,121.0,9.273,3.771879,79.90241,5.0,18.586,54937.0,0.0
87.08483726,1999.0,57.604,66.828679832753,121.0,9.749,3.922048,84.40286,5.1,18.47,56763.0,0.0
82.637660482,1998.0,56.862,67.7594102543283,121.0,10.151,4.138976,87.20739,2.58,18.355,57794.0,0.0
82.637660482,1997.0,56.212,69.0100416297948,121.0,10.467,4.39136,88.52842,2.5800000000000005,18.06,58369.0,0.0
82.637660482,1996.0,55.653,69.9386909593735,121.0,10.847,4.594387,88.98918,2.58,17.683,58628.0,0.0
82.637660482,1995.0,55.189,70.6852374120816,121.0,11.064,4.824361,88.61235,2.5800000000000005,17.311,58743.0,0.0
38.34106545,2004.0,52.321,67.7642075168914,42.0,12.565,5.450099,82.48748,10.7,47.94,101666.0,0.0
37.96975992,2003.0,51.908,67.8785839309417,42.0,12.758,5.462596,84.26161,10.8,47.338,100639.0,0.0
37.60110864,2002.0,51.536,67.9799242169842,42.0,13.036,5.457808,86.10183,10.6,46.738,100000.0,0.0
37.56566466,2001.0,51.222,68.1053542263217,42.0,13.237,5.443479,87.89206,10.8,46.139,98397.0,0.0
37.53361772,2000.0,50.993,68.2471477498185,42.0,13.426,5.529549,89.40406,10.7,45.542,97120.0,0.0
82.637660482,1999.0,50.878,68.3876247555151,42.0,13.614,5.628548,90.6254,2.5800000000000005,44.944,95653.0,0.0
73.345967356,1998.0,50.885,68.5520978987524,42.0,13.723,5.667525,91.45037,2.56,44.348,94199.0,0.0
